Date,Description,Amount
2023-12-01,Salary Deposit,2500.00
2023-12-02,Grocery Shopping,-110.00
2023-12-03,Gas Station Purchase,-25.50
2023-12-05,Online Shopping,-60.75
2023-12-06,Restaurant Lunch,-20.00
2023-12-08,Utilities Bill Payment,-75.00
2023-12-10,Medical Co-pay,-15.50
2023-12-11,Coffee Shop,-7.25
2023-12-12,Movie Night,-22.50
2023-12-14,Car Service,-90.00
2023-12-15,Salary Deposit,2500.00
2023-12-16,Bookstore Purchase,-18.30
2023-12-17,Gas Station Purchase,-33.25
2023-12-18,Concert Tickets,-65.00
2023-12-20,Online Shopping,-40.50
2023-12-22,Dentist Appointment,-55.00
2023-12-24,Grocery Shopping,-95.80
2023-12-25,Restaurant Dinner,-45.75
2023-12-27,Movie Night,-18.50
2023-12-28,Phone Bill Payment,-50.00
2023-12-29,Subscription Renewal,-9.99
2023-12-30,Home Improvement Store,-80.20
